                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94248,                 3.3626,                 1.2917,                 0.5999,                0.60728,                0.65778,                0.55722,                 0.6865,                  1.884,                 1.1473,               0.070109,              0.0033212,              0.0033212
                      2,                0.90439,                 1.9942,                 1.2223,                 0.8202,                0.75012,                0.83577,                0.69016,                0.73824,                 1.4666,                  1.181,               0.040076,              0.0066216,              0.0066216
                      3,                0.95129,                 1.7562,                 1.2447,                0.79077,                  0.739,                0.81495,                0.65728,                0.76679,                 1.5772,                 1.1605,                0.01001,               0.009889,               0.009889
                      4,                 1.0469,                   1.71,                 1.2949,                0.78416,                0.80681,                0.82517,                0.66108,                0.81108,                 1.4535,                 1.1949,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0214,                 1.5402,                 1.2695,                0.79127,                0.71734,                0.82592,                0.64858,                0.83527,                 1.5794,                 1.2244,              0.0098515,              0.0098515,              0.0098515
                      6,                0.98727,                 1.4146,                 1.2495,                0.83391,                 0.8427,                 0.9003,                0.74726,                0.77477,                0.98247,                  1.206,               0.009802,               0.009802,               0.009802
                      7,                0.96873,                 1.2976,                  1.229,                0.92298,                0.83695,                0.89555,                0.74612,                0.74507,                 1.0151,                 1.1653,              0.0097525,              0.0097525,              0.0097525
                      8,                0.95735,                 1.2292,                 1.2276,                0.84022,                0.86756,                0.90606,                0.75402,                0.72934,                0.93556,                 1.1282,               0.009703,               0.009703,               0.009703
                      9,                0.94433,                 1.1474,                  1.223,                 0.9015,                0.86523,                0.89386,                0.76251,                0.68093,                0.85599,                 1.1128,              0.0096535,              0.0096535,              0.0096535
                     10,                0.92046,                 1.0828,                 1.2058,                0.92284,                0.86864,                0.94018,                 0.7951,                0.72606,                0.83539,                 1.1284,               0.009604,               0.009604,               0.009604
                     11,                0.88746,                 1.0187,                 1.1884,                0.91158,                0.84699,                0.90882,                0.78456,                0.67814,                 0.8432,                 1.1407,              0.0095545,              0.0095545,              0.0095545
                     12,                0.86627,                0.99247,                 1.1737,                 0.9268,                0.85671,                0.93057,                0.79442,                0.69011,                0.78144,                 1.1268,               0.009505,               0.009505,               0.009505
                     13,                 0.8761,                0.93937,                 1.1908,                 0.9252,                0.84732,                0.92007,                0.77377,                0.71714,                0.77033,                 1.1265,              0.0094555,              0.0094555,              0.0094555
                     14,                0.84934,                0.92113,                  1.166,                0.94839,                0.87955,                0.91967,                0.78381,                0.66474,                0.75165,                 1.0883,               0.009406,               0.009406,               0.009406
                     15,                0.84699,                0.89493,                 1.1747,                0.86185,                 0.8748,                0.88458,                0.76805,                0.65547,                0.81917,                 1.1344,              0.0093565,              0.0093565,              0.0093565
                     16,                0.82099,                0.83678,                 1.1485,                0.93987,                0.88057,                0.94978,                0.81528,                0.65757,                0.65373,                 1.0931,               0.009307,               0.009307,               0.009307
                     17,                0.84227,                0.84017,                 1.1569,                0.93846,                0.90198,                0.93716,                0.81853,                0.63377,                0.65276,                 1.0942,              0.0092575,              0.0092575,              0.0092575
                     18,                0.82222,                0.82148,                 1.1498,                0.92264,                0.89385,                0.95079,                0.82095,                0.65187,                0.59562,                 1.1027,               0.009208,               0.009208,               0.009208
                     19,                0.81218,                 0.7997,                 1.1553,                0.94542,                0.90756,                0.96257,                0.83068,                0.64038,                0.58346,                 1.0831,              0.0091585,              0.0091585,              0.0091585
                     20,                0.82368,                0.79732,                 1.1515,                0.89467,                 0.9359,                0.95737,                0.83111,                0.64489,                 0.5618,                 1.0877,               0.009109,               0.009109,               0.009109
                     21,                0.78858,                0.76654,                 1.1322,                0.93109,                0.87469,                0.94081,                0.81814,                0.64714,                0.64825,                  1.084,              0.0090595,              0.0090595,              0.0090595
                     22,                0.78204,                0.75748,                 1.1232,                0.95948,                0.85713,                0.95873,                0.82786,                0.64476,                0.59821,                  1.079,                0.00901,                0.00901,                0.00901
                     23,                0.80696,                0.76687,                 1.1365,                0.93398,                0.92769,                0.95376,                0.83355,                 0.6391,                0.52931,                 1.1218,              0.0089605,              0.0089605,              0.0089605
                     24,                0.79598,                0.75696,                 1.1405,                0.90769,                0.88999,                0.93165,                0.80454,                0.65492,                0.62605,                 1.1148,               0.008911,               0.008911,               0.008911
                     25,                 0.7792,                 0.7499,                 1.1402,                0.89138,                0.89662,                0.92714,                0.81687,                0.61448,                0.58544,                 1.0837,              0.0088615,              0.0088615,              0.0088615
                     26,                0.77489,                0.70949,                 1.1286,                0.93257,                0.90406,                0.94978,                0.83467,                0.61065,                0.55241,                 1.0785,               0.008812,               0.008812,               0.008812
                     27,                0.77713,                0.71837,                 1.1301,                0.88856,                0.91183,                0.93342,                0.80949,                0.63198,                0.60631,                 1.0951,              0.0087625,              0.0087625,              0.0087625
                     28,                0.76699,                0.71083,                 1.1232,                0.90466,                0.90972,                0.96469,                0.83839,                0.63121,                0.56289,                 1.1159,               0.008713,               0.008713,               0.008713
                     29,                0.75808,                0.71022,                 1.1134,                0.91238,                0.88396,                0.94583,                0.82188,                0.61584,                0.60491,                 1.0639,              0.0086635,              0.0086635,              0.0086635
                     30,                0.75959,                0.68687,                 1.1242,                0.94935,                0.94323,                0.96564,                0.84988,                0.60362,                0.47796,                 1.0608,               0.008614,               0.008614,               0.008614
                     31,                0.75499,                0.70531,                 1.1224,                0.92632,                0.89666,                0.93725,                0.82583,                0.61612,                0.52533,                 1.0685,              0.0085645,              0.0085645,              0.0085645
                     32,                0.75618,                0.68979,                 1.1176,                0.91697,                0.91811,                0.93297,                0.82362,                0.61374,                0.54228,                 1.0782,               0.008515,               0.008515,               0.008515
                     33,                0.73794,                0.67616,                 1.1063,                0.89377,                0.92223,                0.95563,                0.84528,                0.60777,                0.55717,                  1.055,              0.0084655,              0.0084655,              0.0084655
